重要提示,,,
释义,,,
公司简介,,,
财务与经营亮点,10,,
财务摘要,12,,
董事长报告,14,,
行长报告,17,,
,,公司治理报告,118
管理层讨论与分析,20,股东大会,119
财务回顾,20,董事会,120
利润表分析,21,董事会专门委员会,124
资产负债表分析,30,监事会,131
现金流量表分析,39,监事会专门委员会,132
其他财务信息,39,高级管理层,134
业务回顾,42,,135
公司金融业务,50,,135
个人金融业务,58,,136
资金资管业务,72,,138
境外商业银行业务,78,,148
综合化经营子公司,80,员工情况,152
金融科技与渠道运营,86,内部控制,154
风险管理,96,股东权利,154
风险管理架构,98,投资者关系,155
风险合规文化建设,99,其他公司治理信息,155
集团风险偏好及传导,99,,
信用风险管理,100,,158
市场风险管理,104,,
操作风险管理,107,重要事项,161
流动性风险管理,108,,
声誉风险管理,110,,163
国别风险管理,110,,163
信息科技风险管理,110,,163
战略风险管理,110,普通股股东情况,164
新型风险管理,111,本行主要股东,165
并表管理,112,优先股相关情况,166
内部审计,112,,
