利息净收入,,,,,,
"2024年，本集团实现利息净收入5,898.82亿元，较上年减少273.51亿元，降幅为4.43% ；在营业收入中占比为",,,,,,
78.64%。,,,,,,
,,,,,,
的情况。,,,,,,
,,,,,,
,,,,,,
（人民币百万元，百分比除外）,平均余额,支出,成本率(%),平均余额,支出,成本率(%)
资产,,,,,,
发放贷款和垫款总额,"25,228,241","864,902",3.43,"22,996,225","877,917",3.82
金融投资,"9,363,532","289,788",3.09,"8,576,102","278,524",3.25
存放中央银行款项,"2,680,183","44,878",1.67,"2,741,943","45,636",1.66
存放同业款项及拆出资金,"885,333","25,228",2.85,"862,984","25,678",2.98
买入返售金融资产,"943,008","16,761",1.78,"1,027,075","19,611",1.91
总生息资产,"39,100,297","1,241,557",3.18,"36,204,329","1,247,366",3.45
总减值准备,"(823,273)",,,"(780,649)",,
非生息资产,"1,903,318",,,"1,770,148",,
资产总额,"40,180,342","1,241,557",,"37,193,828","1,247,366",
负债,,,,,,
吸收存款,"27,836,873","458,828",1.65,"26,453,554","468,003",1.77
同业及其他金融机构存放款项和拆入资金,"4,025,481","97,731",2.43,"3,238,337","80,879",2.50
已发行债务证券,"2,046,824","63,860",3.12,"1,727,343","54,504",3.16
向中央银行借款,"1,071,408","27,137",2.53,"887,112","23,785",2.68
卖出回购金融资产款,"183,449","4,119",2.25,"88,095","2,962",3.36
总计息负债,"35,164,035","651,675",1.85,"32,394,441","630,133",1.95
非计息负债,"1,710,813",,,"1,785,647",,
负债总额,"36,874,848","651,675",,"34,180,088","630,133",
