,,,
（人民币百万元）,规模因素1,利率因素1,利息收支变动
资产,,,
发放贷款和垫款总额,"81,076","(94,091)","(13,015)"
金融投资,"25,197","(13,933)","11,264"
存放中央银行款项,"(1,031)",273,(758)
存放同业款项及拆出资金,668,"(1,118)",(450)
买入返售金融资产,"(1,556)","(1,294)","(2,850)"
利息收入变化,"104,354","(110,163)","(5,809)"
负债,,,
吸收存款,"23,650","(32,825)","(9,175)"
,"19,177","(2,325)","16,852"
已发行债务证券,"10,050",(694),"9,356"
向中央银行借款,"4,737","(1,385)","3,352"
卖出回购金融资产款,"2,385","(1,228)","1,157"
利息支出变化,"59,999","(38,457)","21,542"
利息净收入变化,"44,355","(71,706)","(27,351)"
1.,,,
利息净收入较上年减少273.51亿元，其中，各项资产负债平均余额变动带动利息净收入增加443.55亿元，平均收,,,
