区域分布分析,,,,
,,,,
,,,,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
长江三角洲,"134,452",17.92,"141,260",18.35
珠江三角洲,"100,029",13.34,"119,771",15.56
环渤海地区,"118,082",15.74,"125,305",16.28
中部地区,"118,873",15.85,"134,816",17.51
西部地区,"119,135",15.88,"130,770",16.99
东北地区,"29,122",3.88,"31,591",4.10
总行,"108,103",14.41,"64,552",8.39
境外,"22,355",2.98,"21,671",2.82
营业收入,"750,151",100.00,"769,736",100.00
,,,,
,,,,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
长江三角洲,"75,300",19.59,"72,564",18.64
珠江三角洲,"50,006",13.01,"49,533",12.72
环渤海地区,"60,482",15.74,"77,195",19.82
中部地区,"54,036",14.06,"74,452",19.12
西部地区,"62,546",16.27,"67,559",17.35
东北地区,"16,734",4.35,"18,415",4.73
总行,"55,551",14.45,"20,516",5.27
境外,"9,722",2.53,"9,143",2.35
利润总额,"384,377",100.00,"389,377",100.00
