,,票据贴现,,,,
,,境外和子公司,,,,
,,应计利息,,,,
,,,,,报告期末本集团发放贷款和垫款总额（单位：百万元）,
,,,,,,
,,,,,,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%),金额,占比(%)
本行境内贷款和垫款,,96.50,,96.42,,95.80
公司类贷款和垫款,,55.86,,55.43,,51.99
短期贷款,"4,014,375",15.54,"3,594,305",15.06,"2,927,713",13.81
中长期贷款,,40.32,"9,631,350",40.37,"8,092,437",38.18
个人贷款和垫款,"8,872,595",34.33,"8,676,054",36.36,"8,236,768",38.86
个人住房贷款,"6,187,858",23.94,"6,386,525",26.76,"6,479,609",30.57
信用卡贷款,"1,065,883",4.13,"997,133",4.18,"924,873",4.37
个人经营贷款1,"1,021,693",3.95,"777,481",3.26,"415,344",1.96
个人消费贷款,"527,895",2.04,"421,623",1.77,"295,443",1.39
其他贷款2,"69,266",0.27,"93,292",0.39,"121,499",0.57
票据贴现,"1,631,752",6.31,"1,104,787",4.63,"1,048,651",4.95
境外和子公司,"854,969",3.31,"804,486",3.37,"842,566",3.97
应计利息,"49,577",0.19,"50,618",0.21,"48,995",0.23
发放贷款和垫款总额,,100.00,,100.00,,100.00
