,,,,
,,,,
,,,,
金融投资,,,,
,,,,
,,,,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
以公允价值计量且其变动计入当期损益的金融资产,"612,504",5.73,"602,303",6.25
以摊余成本计量的金融资产,"7,429,723",69.54,"6,801,242",70.56
以公允价值计量且其变动计入其他综合收益的金融资产,"2,641,736",24.73,"2,234,731",23.19
金融投资,,100.00,"9,638,276",100.00
,,,,
,,,,
,,,,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
债券1,,97.28,"9,388,324",97.41
权益工具、基金及其他,"290,087",2.72,"249,952",2.59
金融投资,,100.00,"9,638,276",100.00
包括债权类投资。,,,,
2024年末，本集团金融投资10.68万亿元，较上年增加1.05万亿元，增幅10.85%。其中，债券较上年增加1.01万亿,,,,
元，增幅10.71% ，在金融投资中的占比为97.28% ，较上年下降0.13个百分点 ；权益工具、基金及其他较上年增,,,,
加401.35亿元，在金融投资中的占比为2.72% ，较上年上升0.13个百分点。,,,,
