,,"332,460",1.15,"324,863","303,928","273,579"
归属于本行股东的净利润,"335,577","332,653",0.88,"324,727","302,513","271,050"
归属于本行普通股股东的净利润,"328,469","327,543",0.28,"320,189","297,975","265,426"
扣除非经常性损益后归属于本行股东的净利润1,"335,323","332,291",0.91,"324,569","302,694","271,947"
经营活动产生的现金流量净额,"338,023","642,850",(47.42),"978,419","436,718","580,685"
于12月31日,,,,,,
资产总额,"40,571,149","38,324,826",5.86,"34,600,711","30,253,979","28,132,254"
发放贷款和垫款净额,"25,040,400","23,083,377",8.48,"20,493,042","18,170,492","16,231,369"
负债总额,"37,227,184","35,152,752",5.90,"31,724,467","27,639,857","25,742,901"
吸收存款,"28,713,870","27,654,011",3.83,"25,020,807","22,378,814","20,614,976"
股东权益,"3,343,965","3,172,074",5.42,"2,876,244","2,614,122","2,389,353"
归属于本行股东权益,"3,322,127","3,150,145",5.46,"2,855,450","2,588,231","2,364,808"
股本,"250,011","250,011",－,"250,011","250,011","250,011"
核心一级资本净额2,"3,165,549","2,944,386",7.51,"2,706,459","2,475,462","2,261,449"
其他一级资本净额2,"158,875","200,088",(20.60),"140,074","100,066","100,068"
二级资本净额2,"978,839","876,187",11.72,"793,905","676,754","471,164"
资本净额2,"4,303,263","4,020,661",7.03,"3,640,438","3,252,282","2,832,681"
风险加权资产2,"21,854,590","22,395,908",(2.42),"19,767,834","18,215,893","16,604,591"
每股计（人民币元）,,,,,,
基本和稀释每股收益3,1.31,1.31,－,1.28,1.19,1.06
扣除非经常性损益后的基本和稀释每股收益1,1.31,1.31,－,1.28,1.19,1.07
归属于本行普通股股东的每股净资产,12.65,11.80,7.20,10.86,9.95,9.06
每股经营活动产生的现金流量净额,1.35,2.57,(47.47),3.91,1.75,2.32
1.,非经常性损益的项目和相关金额请参见财务报表附注“非经常性损益表”。,,,,,
2.,2024年数据按照《商业银行资本管理办法》相关规则计量，往期数据按照《商业银行资本管理办法（试行）》相关规则计量。,,,,,
