比为21.36%。,,,,
手续费及佣金净收入,,,,
下表列出所示期间本集团手续费及佣金净收入构成及变动情况。,,,,
（人民币百万元，百分比除外）,2024年,2023年,变动(%),2022年
手续费及佣金收入,"117,940","129,906",(9.21),"130,830"
结算与清算手续费,"36,705","37,637",(2.48),"36,567"
银行卡手续费,"21,074","21,071",0.01,"17,098"
托管及其他受托业务佣金,"17,057","18,389",(7.24),"17,738"
代理业务手续费,"14,412","18,894",(23.72),"19,231"
资产管理业务收入,"8,581","10,680",(19.65),"16,185"
顾问和咨询费,"8,131","10,892",(25.35),"10,731"
其他,"11,980","12,343",(2.94),"13,280"
手续费及佣金支出,"(13,012)","(14,160)",(8.11),"(14,745)"
手续费及佣金净收入,"104,928","115,746",(9.35),"116,085"
