按区域划分的贷款分布情况,,,,
下表列出于所示日期本集团按区域划分的贷款分布情况。,,,,
,2024年12月31日,,2023年12月31日,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
长江三角洲,"5,240,886",20.29,"4,703,648",19.71
珠江三角洲,"4,169,575",16.13,"3,936,980",16.50
环渤海地区,"4,338,437",16.79,"4,058,595",17.01
中部地区,"4,290,781",16.60,"3,993,891",16.74
西部地区,"4,855,020",18.79,"4,440,785",18.61
东北地区,"1,039,321",4.02,"975,595",4.09
总行,"1,142,742",4.42,"1,026,719",4.30
境外,"716,955",2.77,"674,769",2.83
应计利息,"49,577",0.19,"50,618",0.21
发放贷款和垫款总额,"25,843,294",100.00,"23,861,600",100.00
按担保方式划分的贷款分布情况,,,,
下表列出于所示日期本集团按担保方式划分的发放贷款和垫款分布情况。,,,,
,2024年12月31日,,2023年12月31日,
（人民币百万元，百分比除外）,金额,占比(%),金额,占比(%)
信用贷款,"11,712,918",45.33,"9,976,510",41.81
保证贷款,"3,244,331",12.55,"3,010,073",12.61
抵押贷款,"9,198,171",35.59,"9,202,161",38.56
质押贷款,"1,638,297",6.34,"1,622,238",6.81
应计利息,"49,577",0.19,"50,618",0.21
发放贷款和垫款总额,"25,843,294",100.00,"23,861,600",100.00
发放贷款和垫款损失准备,,,,
,,2024年,,
（人民币百万元）,阶段一,阶段二,阶段三,合计
2024年1月1日,"363,424","190,295","224,504","778,223"
转移 ：,,,,
转移至阶段一,"18,463","(17,394)","(1,069)",－
转移至阶段二,"(9,135)","17,464","(8,329)",－
转移至阶段三,"(5,359)","(22,535)","27,894",－
新增源生或购入的金融资产,"153,389",－,－,"153,389"
本年转出／归还,"(135,943)","(33,838)","(68,274)","(238,055)"
重新计量,"(56,470)","85,920","118,854","148,304"
本年核销,－,－,"(56,294)","(56,294)"
收回已核销贷款,－,－,"17,327","17,327"
