,,中国建设银行股份有限公司,,2024年度报告,,13
,,,,,,财务摘要
,2024年,2023年,变化+/(-),2022年,2021年,2020年
盈利能力指标(%),,,,,,
平均资产回报率1,0.85,0.91,(0.06),1.00,1.04,1.02
加权平均净资产收益率2,10.69,11.56,(0.87),12.30,12.55,12.12
扣除非经常性损益后的加权平均净资产收益率2,,11.55,(0.87),12.30,12.56,12.16
净利息收益率3,1.51,1.70,(0.19),2.01,2.13,2.19
手续费及佣金净收入对营业收入比率,,15.04,(1.05),14.81,14.74,15.16
成本收入比4,29.44,28.20,1.24,27.83,27.43,25.12
资本充足指标(%),,,,,,
核心一级资本充足率5,14.48,13.15,1.33,13.69,13.59,13.62
一级资本充足率5,15.21,14.04,1.17,14.40,14.14,14.22
资本充足率5,,17.95,1.74,18.42,17.85,17.06
总权益对资产总额比率,8.24,8.28,(0.04),8.31,8.64,8.49
资产质量指标(%),,,,,,
不良贷款率,1.34,1.37,(0.03),1.38,1.42,1.56
拨备覆盖率6,233.60,239.85,(6.25),241.53,239.96,213.59
贷款拨备率6,3.12,3.28,(0.16),3.34,3.40,3.33
1.,净利润除以年初和年末资产总额的平均值。,,,,,
2.,根据中国证监会《公开发行证券的公司信息披露编报规则第9号－净资产收益率和每股收益的计算及披露》（2010年修订）的规定计算。,,,,,
3.,利息净收入除以生息资产平均余额。,,,,,
4.,成本收入比=业务及管理费／营业收入（扣除其他业务成本）。,,,,,
5.,2024年数据按照《商业银行资本管理办法》相关规则计量，往期数据按照《商业银行资本管理办法（试行）》相关规则计量。,,,,,
6.,贷款损失准备余额含核算至以公允价值计量且其变动计入其他综合收益项下的票据贴现的损失准备，贷款余额和不良贷款余额均不含应计利,,,,,
息。,,,,,,
