利息收入占比,,,,发放贷款和垫款利息收入结构（百万元）,,
,,,"600,000",,,
,69.66%,,,,,
,发放贷款和垫款,,,,,
,,,"450,000",,,
,1.35%,,,,,
,买入返售金融资产,,,,,2024年
,2.03%,,"300,000",,,
,存放同业款项及,,,,,2023年
,拆出资金,,,,,
,3.62%,,"150,000",,,
,存放中央银行款项,,,,,
,23.34%,,0,,,
金融投资,公司类贷款,个人贷款,票据贴现,境外及,,
和垫款,和垫款,子公司,,,,
,,下表列出所示期间本集团发放贷款和垫款各组成部分的平均余额、利息收入以及平均收益率情况。,,,,
,,2024年,,,2023年,
,,,平均,,,平均
（人民币百万元，百分比除外）,平均余额,利息收入,收益率(%),平均余额,利息收入,收益率(%)
本行境内贷款和垫款,"24,338,681","812,900",3.34,"22,021,841","823,397",3.74
公司类贷款和垫款,"14,394,704","461,433",3.21,"12,670,662","441,221",3.48
短期贷款,"4,059,423","122,517",3.02,"3,530,267","110,506",3.13
中长期贷款,"10,335,281","338,916",3.28,"9,140,395","330,715",3.62
个人贷款和垫款,"8,736,992","337,928",3.87,"8,416,318","369,842",4.39
短期贷款,"1,313,522","47,173",3.59,"1,132,732","42,312",3.74
中长期贷款,"7,423,470","290,755",3.92,"7,283,586","327,530",4.50
票据贴现,"1,206,985","13,539",1.12,"934,861","12,334",1.32
境外及子公司,"889,560","52,002",5.85,"974,384","54,520",5.60
发放贷款和垫款总额,"25,228,241","864,902",3.43,"22,996,225","877,917",3.82
"发放贷款和垫款利息收入8,649.02亿元，较上年减少130.15亿元，降幅1.48% ，主要是发放贷款和垫款平均收益率",,,,,,
较上年下降39个基点，抵销了平均余额较上年增长9.71%带来的影响。,,,,,,
"金融投资利息收入2,897.88亿元，较上年增加112.64亿元，增幅4.04% ，主要是金融投资平均余额较上年增长",,,,,,
9.18% ，抵销了平均收益率较上年下降16个基点带来的影响。,,,,,,
