,,,平均,,,平均
（人民币百万元，百分比除外）,平均余额,利息支出,成本率(%),平均余额,利息支出,成本率(%)
公司类存款,"11,693,770","191,149",1.63,"11,770,409","203,151",1.73
活期存款,"6,174,056","52,646",0.85,"6,412,315","62,546",0.98
定期存款,"5,519,714","138,503",2.51,"5,358,094","140,605",2.62
个人存款,"15,595,129","246,531",1.58,"14,216,347","247,154",1.74
活期存款,"5,612,605","10,179",0.18,"5,362,877","12,738",0.24
定期存款,"9,982,524","236,352",2.37,"8,853,470","234,416",2.65
境外及子公司,"547,974","21,148",3.86,"466,798","17,698",3.79
吸收存款总额,"27,836,873","458,828",1.65,"26,453,554","468,003",1.77
"吸收存款利息支出4,588.28亿元，较上年减少91.75亿元，降幅1.96% ，主要是吸收存款平均成本率较上年下降12",,,,,,
个基点。,,,,,,
同业及其他金融机构存放款项和拆入资金利息支出977.31亿元，较上年增加168.52亿元，增幅20.84% ，主要是同,,,,,,
,业及其他金融机构存放款项和拆入资金平均余额较上年增长24.31%。,,,,,
已发行债务证券利息支出638.60亿元，较上年增加93.56亿元，增幅17.17% ，主要是已发行债务证券平均余额较,,,,,,
