其他非利息收入,,,,
下表列出所示期间本集团其他非利息收入构成及变动情况。,,,,
（人民币百万元，百分比除外）,2024年,2023年,变动(%),2022年
投资收益,"21,417","16,887",26.83,"14,643"
汇兑收益,"7,363","3,247",126.76,495
公允价值变动收益／（损失）,"5,351","(3,615)",不适用,"(12,422)"
租赁收入,"8,502","7,402",14.86,"6,049"
保险业务收入,"5,315","4,783",11.12,"4,448"
其他,"7,393","8,053",(8.20),"10,793"
其他非利息收入总额,"55,341","36,757",50.56,"24,006"
其他非利息收入553.41亿元，较上年增加185.84亿元，增幅50.56%。其中，投资收益214.17亿元，较上年增加,,,,
45.30亿元，主要是债券投资处置收益和证券化资产转让业务收益同比增加 ；汇兑收益73.63亿元，较上年增加,,,,
41.16亿元，主要是受业务变化和汇率波动等因素影响，外汇业务相关损益同比增加 ；公允价值变动收益53.51亿,,,,
元，收益较上年增加89.66亿元，主要是受市场波动和资产结构变化等因素影响，持有的以公允价值计量且其变,,,,
动计入当期损益的权益类投资和债权类投资重估收益同比增加 ；租赁收入85.02亿元，较上年增加11.00亿元 ；保,,,,
险业务收入53.15亿元，较上年增加5.32亿元。,,,,
业务及管理费,,,,
下表列出所示期间本集团业务及管理费构成情况。,,,,
