（人民币百万元，百分比除外）,2024年,2023年,变动(%),2022年
员工成本,"133,760","128,023",4.48,"125,155"
物业及设备支出,"32,025","32,450",(1.31),"33,558"
其他,"48,527","49,615",(2.19),"52,183"
业务及管理费总额,"214,312","210,088",2.01,"210,896"
成本收入比(%),29.44,28.20,1.24,27.83
,2024年，本集团坚持全面成本管理，提升费用开支效率，成本收入比29.44% ，较上年上升1.24个百分点，继续,,,
"保持良好水平。业务及管理费2,143.12亿元，较上年增加42.24亿元，增幅2.01%。其中，员工成本1,337.60亿元，",,,,
较上年增加57.37亿元，增幅4.48%，主要是持续加强基层员工关爱；物业及设备支出320.25亿元，较上年减少4.25,,,,
亿元，降幅1.31% ，主要是加强资产集约化管理，物业管理费等同比减少 ；其他业务及管理费485.27亿元，较上,,,,
年减少10.88亿元，降幅2.19% ，主要是在支持重点战略和客户账户拓展的同时，持续加强全面成本管理，提升,,,,
营销质效和费用开支效率。,,,,
28,中国建设银行股份有限公司,2024年度报告,,
管理层讨论与分析,,,,
财务回顾,,,,
减值损失,,,,
下表列出所示期间本集团减值损失构成情况。,,,,
（人民币百万元，百分比除外）,2024年,2023年,变动(%),2022年
发放贷款和垫款,"118,938","144,682",(17.79),"139,741"
金融投资,"3,930","(7,842)",不适用,"4,026"
以摊余成本计量的金融资产,"6,007","(7,468)",不适用,"1,869"
以公允价值计量且其变动计入其他综合收益的金融资产,"(2,077)",(374),455.35,"2,157"
其他,"(1,870)",397,(571.03),"11,247"
减值损失总额,"120,998","137,237",(11.83),"155,014"
"2024年，本集团减值损失1,209.98亿元，较上年减少162.39亿元，降幅11.83%。主要是发放贷款和垫款减值损失",,,,
较上年减少257.44亿元。金融投资减值损失为39.30亿元，较上年增加117.72亿元。其他减值损失较上年减少22.67,,,,
亿元。,,,,
所得税费用,,,,
