（人民币百万元，百分比除外）,面值,年利率(%),到期日,减值准备1
2019年政策性银行金融债券,"17,440",3.75,2029-01-25,–
2020年政策性银行金融债券,"16,400",3.74,2030-11-16,–
2019年政策性银行金融债券,"16,120",3.86,2029-05-20,–
2020年政策性银行金融债券,"15,980",3.23,2030-03-23,–
2020年政策性银行金融债券,"15,510",2.96,2030-04-17,–
2020年政策性银行金融债券,"14,543",3.34,2025-07-14,–
2021年政策性银行金融债券,"14,270",3.52,2031-05-24,–
2021年政策性银行金融债券,"13,780",3.48,2028-02-04,–
2019年政策性银行金融债券,"13,100",3.48,2029-01-08,–
2021年政策性银行金融债券,"13,080",3.38,2031-07-16,–
1.,未包含按预期信用损失模型要求计提的阶段一减值准备。,,,
抵债资产,,,,
,在收回已减值贷款和垫款时，本集团可以通过法律程序或由债务人、担保人或第三人自愿交付资产所有权，抵,,,
偿贷款和垫款及应收利息。2024年末，本集团的抵债资产为10.18亿元，抵债资产减值准备余额为7.65亿元。具,,,,
